accumbens_area_left accumbens_area_right amygdala_left amygdala_right basal_forebrain_left basal_forebrain_right Brain_stem caudal_anterior_cingulate_left caudal_anterior_cingulate_right caudal_middle_frontal_left caudal_middle_frontal_right caudate_left caudate_right cerebellar_vermal_lobules_I_V cerebellar_vermal_lobules_VIII_X cerebellar_vermal_lobules_VI_VII cerebellum_exterior_left cerebellum_exterior_right cerebellum_white_matter_left cerebellum_white_matter_right CSF cuneus_left cuneus_right depression entorhinal_left entorhinal_right fusiform_left fusiform_right gray_matter hippocampus_left hippocampus_right inferior_lateral_ventricle_left inferior_lateral_ventricle_right inferior_parietal_left inferior_parietal_right inferior_temporal_left inferior_temporal_right insula_left insula_right isthmus_cingulate_left isthmus_cingulate_right lateral_occipital_left lateral_occipital_right lateral_orbitofrontal_left lateral_orbitofrontal_right lateral_ventricle_left lateral_ventricle_right lingual_left lingual_right medial_orbitofrontal_left medial_orbitofrontal_right middle_temporal_left middle_temporal_right optic_chiasm pallidum_left pallidum_right paracentral_left paracentral_right parahippocampal_left parahippocampal_right pars_opercularis_left pars_opercularis_right pars_orbitalis_left pars_orbitalis_right pars_triangularis_left pars_triangularis_right pericalcarine_left pericalcarine_right postcentral_left postcentral_right posterior_cingulate_left posterior_cingulate_right precentral_left precentral_right precuneus_left precuneus_right putamen_left putamen_right rostral_anterior_cingulate_left rostral_anterior_cingulate_right rostral_middle_frontal_left rostral_middle_frontal_right superior_frontal_left superior_frontal_right superior_parietal_left superior_parietal_right superior_temporal_left superior_temporal_right supramarginal_left supramarginal_right thalamus_proper_left thalamus_proper_right total_brain_volume transverse_temporal_left transverse_temporal_right ventral_DC_left ventral_DC_right vessel_left vessel_right white_matter X3rd_ventricle X4th_ventricle
lateral_orbitofrontal_right 0.05504 0.09239 0.09618 0.08817 0.11495 0.11233 -0.07026 0.09913 0.0876 0.14109 0.12299 -0.00473 -0.01676 -0.02538 -0.05123 -0.04231 -0.06 -0.06232 -0.09758 -0.10113 0.03799 0.05288 0.06299 -0.00263 0.01052 0.02583 0.11581 0.08952 0.25455 -0.00432 -0.01314 -0.10699 -0.10661 0.09615 0.09633 0.15052 0.13241 0.17426 0.13545 0.12254 0.10089 0.13677 0.10476 0.65335 1 -0.09906 -0.07958 0.0977 0.07396 0.14632 0.21878 0.09726 0.13953 NA -0.06575 -0.06891 0.12085 0.09966 0.07514 0.05895 0.11253 0.09515 0.18111 0.20902 0.06451 -0.0151 0.00766 0.01367 -0.01698 0.00217 0.11257 0.11155 0.12631 0.11518 0.13182 0.09951 -0.01547 -0.01643 0.17932 0.1388 0.16194 0.18197 0.18047 0.20108 0.09104 0.10444 0.13059 0.10471 0.02183 0.07592 0.0327 0.02776 0.00106 0.08648 0.07498 -0.08882 -0.08463 -0.00129 -0.00822 -0.09635 -0.05123 -0.09313
lateral_ventricle_left -0.35067 -0.31184 -0.06051 -0.04632 0.02271 0.04053 -0.1745 -0.0772 -0.02812 -0.02732 -0.03013 0.2246 0.33509 -0.01809 0.01181 0.02096 0.01208 0.01517 -0.10471 -0.09829 0.04208 -0.11147 -0.14405 0.00128 -0.10342 -0.0922 -0.03764 -0.00989 -0.20396 0.03512 0.01379 0.3855 0.29185 -0.01416 -0.02683 -0.11624 -0.10913 -0.05339 -0.09104 -0.16725 -0.08393 -0.0335 -0.07291 -0.09139 -0.09906 1 0.81573 -0.04784 -0.09807 -0.05123 -0.06172 -0.0435 -0.02517 NA -0.14668 -0.15195 -0.08366 -0.15227 -0.15701 -0.09336 -0.04341 -0.01479 -0.03548 -0.01827 -0.04971 -0.04218 -0.13129 -0.09558 -0.06818 -0.05179 -0.1415 -0.0846 -0.03273 -0.0413 -0.08366 -0.08309 -0.11913 -0.11269 0.0017 0.03715 -0.04009 -0.05529 -0.07505 -0.11516 -0.11131 -0.11953 -0.09815 -0.0749 -0.06255 -0.00665 -0.11181 -0.03921 -0.00611 -0.02342 0.00462 -0.03634 -0.06441 0.02335 0.02655 -0.1886 0.55949 0.2804
lateral_ventricle_right -0.32002 -0.3007 -0.03559 -0.05802 0.01832 0.06211 -0.18309 -0.0872 -0.07733 -0.03799 -0.02669 0.20687 0.38975 -0.01119 0.0164 0.03387 0.00365 0.00069 -0.1097 -0.10317 0.05925 -0.14772 -0.11413 -0.00163 -0.09186 -0.09955 -0.01108 -0.01985 -0.20298 0.05255 -0.02337 0.38111 0.26912 -0.05609 -0.00912 -0.10769 -0.11114 -0.07084 -0.08885 -0.11263 -0.1537 -0.07863 -0.01861 -0.1066 -0.07958 0.81573 1 -0.0682 -0.06761 -0.04983 -0.08384 -0.03166 -0.06597 NA -0.14299 -0.13604 -0.11655 -0.13102 -0.11366 -0.10124 -0.03078 -0.04079 -0.00839 -0.0479 -0.04181 -0.0614 -0.09726 -0.07855 -0.05868 -0.06196 -0.13975 -0.13071 -0.04592 -0.04278 -0.09644 -0.10941 -0.12286 -0.12088 -0.00065 0.01167 -0.04644 -0.03274 -0.10638 -0.08616 -0.10748 -0.10898 -0.08157 -0.09934 -0.04074 -0.0301 -0.10498 -0.00716 -0.00703 -0.01883 -0.0192 -0.05822 -0.05596 0.01727 0.0453 -0.19265 0.55403 0.266
lingual_left 0.05259 0.04956 0.07387 0.07325 -0.00117 -0.0091 -0.03463 0.12268 0.1195 0.03056 -0.01759 -0.02218 -0.05207 -0.03625 0.01597 -0.00658 -0.04194 -0.03487 -0.07107 -0.06591 0.03899 0.33627 0.2533 -0.01098 0.04454 0.00737 0.13251 0.19821 0.20198 0.07609 0.07103 -0.01281 0.03804 -0.03197 -0.05804 0.06029 0.08797 0.07473 0.03859 0.15379 0.14281 0.31093 0.21552 0.08636 0.0977 -0.04784 -0.0682 1 0.51345 0.063 0.08026 0.048 0.14678 NA 0.00849 -0.00474 0.06427 0.08448 0.17988 0.16006 0.04714 0.04056 0.02427 0.04006 0.02322 0.02828 0.31622 0.23446 0.07422 0.08271 0.16431 0.14639 -0.00099 -0.04015 0.1756 0.18083 0.0375 0.03549 0.08809 0.10213 0.02252 0.0267 0.04554 0.03277 0.08633 0.08 0.07074 0.09107 0.03741 0.13257 0.05054 0.0454 -0.00049 0.03674 0.05949 -0.00818 -0.01374 -0.01589 -0.02781 0.00356 -0.01361 -0.00686
lingual_right 0.05832 0.05144 0.07736 0.07824 -0.03447 -0.01669 -0.01624 0.16207 0.08298 0.00618 0.0026 -0.02912 -0.05445 -0.01745 0.00823 0.00559 -0.00532 -0.01262 -0.04355 -0.04115 0.06338 0.26174 0.33739 -0.01135 0.0449 0.02527 0.22219 0.12442 0.19645 0.09596 0.09622 0.002 0.04266 -0.05689 -0.04084 0.10452 0.08844 0.0831 0.0857 0.20367 0.13462 0.22107 0.2606 0.06587 0.07396 -0.09807 -0.06761 0.51345 1 0.08339 0.03806 0.11747 0.07964 NA 0.00417 0.00241 0.07951 0.09995 0.16598 0.20207 0.03106 0.03463 0.04349 0.0109 0.03169 0.01707 0.281 0.29911 0.10619 0.06396 0.17068 0.13568 -0.02591 -0.01843 0.17384 0.20168 0.03149 0.03477 0.11478 0.07471 0.04011 -0.02518 -0.00205 0.04959 0.04696 0.06107 0.11739 0.06751 0.10247 0.05089 0.04956 0.04892 -0.00235 0.05863 0.03394 -0.01001 0.0147 -0.03026 -0.01159 0.00603 -0.00869 -0.00181
medial_orbitofrontal_left 0.15289 0.10477 0.02522 0.04026 0.10645 0.12215 0.04399 0.19525 0.08152 0.02378 0.09468 0.03972 0.03185 -0.02038 0.01285 -0.01949 0.02153 0.01154 0.02203 0.02105 0.01851 0.02538 0.03453 0.00856 -0.00912 -0.03265 0.09854 0.09586 0.19583 0.06591 0.08271 -0.03905 -0.02954 0.10603 0.10675 0.04902 0.04327 0.23009 0.23335 0.13419 0.14236 0.06379 0.1258 0.18313 0.14632 -0.05123 -0.04983 0.063 0.08339 1 0.38683 0.09199 0.07174 NA 0.03732 0.02824 0.09241 0.12769 0.0409 0.03933 0.10811 0.08668 0.13125 0.12611 0.06646 0.07145 -0.01908 0.01633 0.02401 0.01584 0.17093 0.1355 0.06199 0.10284 0.17914 0.18687 0.09834 0.09694 0.22363 0.11021 0.11471 0.06856 0.08613 0.18222 -0.00183 -0.01236 0.05648 0.04516 0.07268 0.06713 0.13433 0.11787 0.00198 0.08258 0.08805 0.03815 0.04083 0.02405 0.01467 0.01567 0.00031 -0.04462
medial_orbitofrontal_right 0.10104 0.14187 0.02644 0.03833 0.12633 0.12249 0.06077 0.16442 0.12042 0.04283 0.02093 0.03796 0.01125 -0.01981 0.00504 -0.03806 0.01627 0.02375 0.02697 0.02427 0.06183 0.04705 0.00921 0.00487 -0.04127 -0.06005 0.09121 0.08764 0.21534 0.02618 0.02264 -0.10675 -0.08987 0.14835 0.10035 0.00672 0.02384 0.28091 0.25859 0.16151 0.12637 0.1463 0.07479 0.17679 0.21878 -0.06172 -0.08384 0.08026 0.03806 0.38683 1 0.07602 0.11272 NA 0.02485 0.03335 0.10306 0.09313 -0.00187 0.02848 0.10238 0.08337 0.15136 0.20972 0.09156 0.07555 -0.05294 -0.00542 -0.01197 0.02043 0.17848 0.17766 0.07132 0.04124 0.22309 0.20535 0.06594 0.07158 0.31776 0.1902 0.07183 0.10925 0.1292 0.14455 -0.0187 -0.02659 0.02776 0.02829 0.05478 0.14908 0.11487 0.10784 -8e-04 0.12505 0.10833 0.02829 0.02473 0.02756 0.00397 -0.00428 -0.02937 -0.0899
middle_temporal_left 0.04506 0.04809 0.12897 0.12475 0.05071 0.06597 -0.05075 0.02395 0.00516 -0.03797 -0.01663 -0.02141 -0.01042 -0.0133 0.00755 0.03557 0.03777 0.02776 -0.05807 -0.05691 0.00587 -0.05219 0.01405 0.00609 0.20874 0.21415 0.12506 0.14716 0.22482 0.07286 0.07053 0.02349 0.01142 0.2316 0.22991 0.33493 0.33936 0.01848 0.0141 0.11172 0.07145 0.06995 0.12317 0.10253 0.09726 -0.0435 -0.03166 0.048 0.11747 0.09199 0.07602 1 0.5469 NA -0.05027 -0.05326 -0.02736 -0.00836 0.10869 0.10342 0.03933 0.0508 0.07426 0.05808 -0.00212 -0.04064 -7e-05 0.01134 0.13113 0.08973 0.07547 0.06677 -0.01961 -0.00888 0.14261 0.12829 -0.01794 -0.01531 0.04707 0.01735 0.04192 0.01285 0.0504 0.06409 -0.00511 0.0326 0.04326 0.15552 0.18955 0.1201 -0.03105 -0.03355 0.00148 -0.14062 -0.07941 -0.06581 -0.04499 0.01541 0.01753 -0.15939 -0.05806 0.00162
middle_temporal_right 0.0287 0.05991 0.14394 0.15206 0.05164 0.03014 -0.05884 0.00617 0.06131 0.01435 -0.00698 -0.01973 -0.02636 -0.00609 0.00442 0.00226 0.00976 0.02594 -0.08682 -0.07192 0.02108 0.05256 -0.00897 0.0091 0.20119 0.2007 0.13393 0.11585 0.25193 0.06859 0.09653 0.00804 0.03037 0.23662 0.17248 0.33695 0.35017 0.06685 0.0365 0.1 0.12047 0.14861 0.07585 0.15212 0.13953 -0.02517 -0.06597 0.14678 0.07964 0.07174 0.11272 0.5469 1 NA -0.05842 -0.07964 -0.00079 0.01033 0.09812 0.12364 0.05375 0.04422 0.03909 0.06358 -0.00941 -0.0171 0.02756 0.00932 0.07744 0.07004 0.0797 0.09866 0.0104 -0.0108 0.15523 0.16611 -0.03045 -0.03107 0.02391 0.05599 0.0596 0.05974 0.08739 0.06619 0.03347 0.04079 0.16551 0.08498 0.13631 0.17624 -0.02195 -0.01491 -0.00319 -0.0367 -0.11887 -0.06292 -0.07296 0.03449 -0.00584 -0.15082 -0.06257 -0.02585
optic_chiasm NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.00304 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
pallidum_left 0.40662 0.35675 0.09585 0.10444 -0.03349 0.00672 0.3979 -0.04106 -0.02012 -0.02688 -0.04354 0.26547 0.16663 0.07206 0.06745 0.02869 0.08296 0.09594 0.25852 0.24383 -0.0191 0.0585 0.0372 -0.00287 0.004 -0.02048 -0.0289 -0.02144 -0.0734 0.14513 0.15411 -0.04354 -0.04758 0.03281 0.01399 -0.08118 -0.0551 0.12055 0.115 0.02246 0.01621 0.04372 0.02926 -0.04515 -0.06575 -0.14668 -0.14299 0.00849 0.00417 0.03732 0.02485 -0.05027 -0.05842 NA 1 0.86005 -0.00332 0.02519 0.05091 0.04005 -0.03104 -0.06342 -0.03103 -0.02424 0.05421 0.02561 0.06177 0.07792 -0.02642 -0.0157 -0.00956 -0.01717 0.00329 -0.00342 0.00958 0.01606 0.5291 0.51347 -0.05224 -0.04565 -0.01479 -0.02281 -0.0517 -0.05111 -0.04349 -0.03567 -0.013 -0.01572 -0.03438 -0.02263 0.30911 0.27607 0.00557 -0.03993 -0.04307 0.47519 0.46299 0.03581 -8e-05 0.2647 -0.12951 -0.01586
pallidum_right 0.38671 0.35495 0.0837 0.09808 -0.03775 -0.00189 0.41501 -0.04794 -0.03169 -0.04861 -0.04546 0.26616 0.18197 0.07992 0.07497 0.03709 0.09716 0.09847 0.27484 0.25494 -0.02652 0.04007 0.03364 -0.00363 0.00165 -0.01759 -0.03921 -0.02452 -0.09786 0.1428 0.15225 -0.04278 -0.0437 0.02612 0.02366 -0.08693 -0.07028 0.10806 0.11123 0.03377 0.0112 0.02845 0.00654 -0.06152 -0.06891 -0.15195 -0.13604 -0.00474 0.00241 0.02824 0.03335 -0.05326 -0.07964 NA 0.86005 1 0.00768 0.01885 0.04168 0.03876 -0.04088 -0.05863 -0.02804 -0.02463 0.05011 0.02061 0.05211 0.07094 -0.028 -0.01046 -0.01758 -0.01975 -0.00791 -0.0088 0.011 0.00594 0.5142 0.5093 -0.05627 -0.05626 -0.02527 -0.02696 -0.06812 -0.04845 -0.04613 -0.03387 -0.0187 -0.02615 -0.0298 -0.01791 0.30881 0.28356 0.00368 -0.04767 -0.04983 0.48534 0.49953 0.02895 0.00377 0.2802 -0.12373 -0.00688
paracentral_left 0.00965 0.03574 0.025 0.04385 -0.03413 -0.04612 -0.01557 0.23493 0.12026 0.16294 0.15399 0.00156 -0.01925 -0.00173 -0.00889 -0.01237 -0.05525 -0.06045 -0.05261 -0.05384 -0.03199 0.05634 0.02431 -0.00696 0.00036 0.00612 0.09887 0.09493 0.13379 0.04228 0.05573 -0.00439 0.01867 -0.10419 -0.07666 0.02392 0.06256 0.14444 0.1298 0.02122 0.07169 0.0143 -0.04152 0.12181 0.12085 -0.08366 -0.11655 0.06427 0.07951 0.09241 0.10306 -0.02736 -0.00079 NA -0.00332 0.00768 1 0.46811 0.00323 0.02387 0.06451 0.09421 0.00955 0.04581 0.05355 0.05051 -0.01338 -0.01294 -0.03915 -0.00469 0.12185 0.19941 0.29936 0.22299 0.12474 0.13139 0.02266 0.03406 0.15007 0.12142 0.0545 0.05285 0.17188 0.25343 0.08505 0.06152 0.10598 0.12483 -0.09828 -0.07837 0.08522 0.07099 0.00028 0.06194 0.06315 0.01013 0.0165 -0.0182 -0.00052 0.02892 0.02201 -0.01657
paracentral_right 0.07541 0.04669 0.03756 0.03739 -0.01039 -0.0178 0.00289 0.26104 0.1084 0.10134 0.15131 -0.00979 -0.01123 -0.00303 -0.0265 -0.02429 -0.05715 -0.05536 -0.03006 -0.02853 -0.02675 0.05972 0.06513 -0.00095 -0.00262 -0.01464 0.10084 0.0985 0.1332 0.04661 0.05584 -0.03518 -0.01988 -0.05954 -0.04617 0.02352 0.06604 0.1565 0.15436 0.1179 -0.00873 -0.00645 0.01812 0.11088 0.09966 -0.15227 -0.13102 0.08448 0.09995 0.12769 0.09313 -0.00836 0.01033 NA 0.02519 0.01885 0.46811 1 0.02434 0.02177 0.06168 0.07363 0.03332 0.02083 0.04961 0.04215 0.01988 0.0224 -9e-05 -0.03575 0.25984 0.11574 0.20157 0.2216 0.16567 0.07917 0.02954 0.03768 0.17399 0.12932 0.03889 0.0306 0.16297 0.20245 0.07883 0.08031 0.09124 0.10307 -0.05933 -0.06983 0.07515 0.07535 0.00636 0.05899 0.0529 0.01275 0.02109 -0.00136 0.02786 0.03578 -0.02718 -0.02968
parahippocampal_left 0.11296 0.08061 0.12694 0.10362 0.02042 0.00975 0.05839 0.00765 -0.00067 -0.05455 -0.03257 0.02096 -0.00999 0.00126 0.07627 0.06143 0.03052 0.0243 0.00775 0.01174 0.03213 0.0455 0.08799 0.00344 0.08623 0.0497 0.07549 0.07755 0.11177 0.22433 0.2138 -0.01941 -0.04343 0.04262 0.07978 0.14998 0.11966 0.09637 0.08494 0.07476 0.07096 -0.00228 0.10536 0.06335 0.07514 -0.15701 -0.11366 0.17988 0.16598 0.0409 -0.00187 0.10869 0.09812 NA 0.05091 0.04168 0.00323 0.02434 1 0.57151 -0.00143 0.00772 0.04487 0.02743 0.03826 0.0361 0.09037 0.06081 0.04023 0.0406 0.08227 0.06073 -0.00692 0.01068 0.0081 0.02282 0.08657 0.08526 0.01906 0.01314 -0.01443 -0.00787 0.05872 0.03393 0.02739 0.01683 0.12656 0.10174 0.06736 0.05038 0.07998 0.07824 -0.00688 0.02707 0.02636 0.09876 0.10265 0.01573 0.00677 -0.01964 -0.03431 0.09086
parahippocampal_right 0.06771 0.0781 0.09061 0.10807 7e-05 -0.00394 0.05654 0.0042 0.00435 -0.03068 -0.04658 0.0436 0.00363 -0.00364 0.08665 0.06193 0.04023 0.04124 0.00868 0.01278 0.0018 0.05173 0.05659 0.00139 0.05365 0.06015 0.07891 0.01642 0.11345 0.17279 0.23018 -0.0156 -0.0272 0.10691 0.06835 0.09119 0.13462 0.09729 0.08913 0.08706 0.0748 0.07727 0.01088 0.03485 0.05895 -0.09336 -0.10124 0.16006 0.20207 0.03933 0.02848 0.10342 0.12364 NA 0.04005 0.03876 0.02387 0.02177 0.57151 1 0.00994 0.00084 0.03667 0.03957 0.04069 0.03136 0.06377 0.04764 0.02489 0.03864 0.06308 0.05974 0.02595 0.00196 0.02778 0.03122 0.08744 0.08565 -0.00276 0.01159 -0.01695 -0.04168 0.01671 0.04452 0.01244 0.0183 0.07864 0.08795 0.04117 0.05259 0.07864 0.07525 -0.00555 0.00219 0.01373 0.07806 0.10454 0.01363 0.00265 -0.04041 0.00071 0.12022
pars_opercularis_left 0.01322 0.03143 0.04761 0.03105 -0.01102 -0.02393 -0.04725 0.0772 0.0601 0.13599 0.1461 -0.00466 -0.00649 -0.03358 -0.02528 -0.02719 -0.05026 -0.05479 -0.05502 -0.05357 -0.01869 0.04508 0.03547 0.00323 0.01595 -0.00822 0.03608 0.02066 0.13733 0.01218 0.01705 -0.0054 0.00904 0.04633 0.03435 0.02591 0.02032 0.09729 0.09245 0.08744 0.05007 0.02853 0.04026 0.10629 0.11253 -0.04341 -0.03078 0.04714 0.03106 0.10811 0.10238 0.03933 0.05375 NA -0.03104 -0.04088 0.06451 0.06168 -0.00143 0.00994 1 0.28391 0.09133 0.10318 -0.05447 0.06934 -0.00623 0.01201 0.05686 0.04579 0.10158 0.07511 -0.02046 0.13788 0.11874 0.10184 0.00983 0.00858 0.09005 0.06359 -0.00178 0.07162 0.08869 0.12552 0.04357 0.04961 0.02407 0.05185 0.08254 0.08425 0.00042 0.00675 0.007 0.06853 0.09062 -0.06224 -0.06736 -0.01601 -0.01458 -0.0046 -0.06102 -0.03154
pars_opercularis_right 0.00093 -0.01145 0.00068 0.00475 -0.03294 -0.04311 -0.05082 0.07896 0.06788 0.12771 0.11903 -0.02761 -0.01797 -0.02616 -0.04107 -0.03356 -0.04894 -0.04667 -0.06132 -0.06267 -0.02375 0.0335 0.04426 -0.00956 0.01421 0.00984 0.04262 0.04769 0.12962 -0.00087 -0.001 0.00368 0.03468 0.03418 0.03506 0.04023 0.03974 0.07252 0.06336 0.06905 0.06993 0.01989 0.01294 0.10414 0.09515 -0.01479 -0.04079 0.04056 0.03463 0.08668 0.08337 0.0508 0.04422 NA -0.06342 -0.05863 0.09421 0.07363 0.00772 0.00084 0.28391 1 0.12994 0.07199 0.04323 -0.14454 -0.00633 0.00633 0.08805 0.08255 0.09578 0.09772 0.13379 0.07166 0.09818 0.10535 -0.02325 -0.01982 0.06689 0.07042 0.04523 -0.06112 0.11978 0.09663 0.05624 0.06352 0.0305 0.05805 0.09509 0.09777 -0.01518 -0.0152 0.00516 0.06719 0.08913 -0.06614 -0.06902 -0.01599 -0.00579 -0.01498 -0.03612 -0.00324
pars_orbitalis_left 0.00336 -0.01298 0.01908 0.01707 0.04647 0.03693 -0.00766 0.04356 0.02637 -0.01236 0.01746 -0.0088 -0.00014 -0.02181 0.0021 0.00956 0.00728 0.00668 -0.01011 -0.00622 0.04463 -0.00491 0.018 0.002 -0.0251 -0.01587 0.0737 0.04653 0.1 -3e-05 -0.00695 -0.06132 -0.04379 0.06973 0.05995 0.04097 0.0059 0.07272 0.08726 0.09083 0.07048 0.0599 0.08111 0.17767 0.18111 -0.03548 -0.00839 0.02427 0.04349 0.13125 0.15136 0.07426 0.03909 NA -0.03103 -0.02804 0.00955 0.03332 0.04487 0.03667 0.09133 0.12994 1 0.32596 -0.16913 0.06926 0.00784 0.00784 0.07353 0.04687 0.05197 0.02272 0.03721 0.05954 0.06987 0.07342 -0.04485 -0.0496 0.08967 0.03574 0.0582 0.04068 0.06224 0.09465 0.03758 0.02931 -0.00546 0.00167 0.0875 0.07636 0.00535 -0.00088 -0.00322 0.11659 0.08639 -0.04229 -0.04189 -0.00102 0.01343 -0.05769 -0.04443 -0.03422
pars_orbitalis_right 0.00569 0.00847 0.02188 0.02861 0.04196 0.03228 -0.00056 0.02339 0.03492 0.01736 -0.01805 -0.00926 -0.00838 -0.01305 -0.00557 -8e-05 0.01763 0.01403 -0.01071 -0.01432 0.03652 0.01289 0.00317 0.00287 -0.03286 -0.01881 0.05006 0.06011 0.1294 -0.00995 -0.00592 -0.06235 -0.04974 0.06547 0.05353 0.02134 0.01854 0.09739 0.06371 0.04614 0.07063 0.09181 0.07129 0.17684 0.20902 -0.01827 -0.0479 0.04006 0.0109 0.12611 0.20972 0.05808 0.06358 NA -0.02424 -0.02463 0.04581 0.02083 0.02743 0.03957 0.10318 0.07199 0.32596 1 0.10626 -0.15284 -0.01188 0.00111 0.03529 0.05154 0.04399 0.06071 0.0658 0.06708 0.09336 0.08307 -0.04009 -0.04627 0.06772 0.0631 0.06985 0.07889 0.08342 0.08295 0.04479 0.03988 -0.01135 -0.00587 0.05017 0.10414 -0.00303 -0.01228 0.00249 0.10218 0.10655 -0.04529 -0.04757 0.00043 -0.01647 -0.05163 -0.07317 -0.05018
pars_triangularis_left 0.01537 0.03423 0.04207 0.05547 0.04567 0.04852 0.02228 0.00489 -0.01158 0.10634 0.11914 0.03629 0.02518 -0.02069 -0.01957 -0.01102 -0.0017 0.00234 6e-04 -6e-05 -0.01656 0.04426 0.06273 0.00202 -0.04273 -0.03565 0.01165 0.00279 0.07807 0.00011 0.01953 -0.04303 -0.03119 -0.00629 -0.02113 0.00198 -0.00147 0.21103 0.18358 0.03097 0.02383 0.12342 0.11379 -0.00777 0.06451 -0.04971 -0.04181 0.02322 0.03169 0.06646 0.09156 -0.00212 -0.00941 NA 0.05421 0.05011 0.05355 0.04961 0.03826 0.04069 -0.05447 0.04323 -0.16913 0.10626 1 0.33065 0.03284 0.03641 -0.03654 -0.04407 0.02723 -0.00258 0.09414 0.07999 0.0645 0.06636 0.08859 0.08195 0.01891 -0.01787 -0.00456 0.06922 0.10279 0.13321 0.04416 0.05006 0.00882 0.01801 -0.01022 0.01717 0.05227 0.04759 0.00132 0.12599 0.09533 0.00355 -0.00181 0.02001 -0.0094 -1e-04 -0.0451 -0.03297
pars_triangularis_right 0.00761 -0.00148 0.04207 0.04871 0.04415 0.04132 0.00998 0.01558 0.01759 0.09676 0.12892 0.01748 0.00578 -0.02444 -0.01054 -0.01112 -0.01846 -0.0163 0.0012 -0.00114 0.00767 0.06267 0.05675 0.00285 -0.03349 -0.03066 0.03135 0.02336 0.07719 -0.00041 0.01443 -0.03906 -0.03887 -0.01904 -0.02399 0.00143 -0.00725 0.16052 0.2002 0.01703 0.03295 0.09896 0.11211 0.06581 -0.0151 -0.04218 -0.0614 0.02828 0.01707 0.07145 0.07555 -0.04064 -0.0171 NA 0.02561 0.02061 0.05051 0.04215 0.0361 0.03136 0.06934 -0.14454 0.06926 -0.15284 0.33065 1 0.02798 0.02761 -0.0518 -0.04418 0.00618 0.00737 0.09735 0.08246 0.06011 0.05569 0.06744 0.07349 0.03158 -0.00494 0.10144 0.03224 0.13028 0.10119 0.05164 0.05743 0.02685 0.01386 -0.03534 0.00308 0.05051 0.04121 -0.00491 0.13307 0.10845 -0.00714 -0.00617 0.01865 -0.00179 -0.00036 -0.03997 -0.04152
pericalcarine_left 0.08037 0.06521 0.04589 0.02543 -1e-04 0.00722 0.03011 0.01451 0.0122 0.03522 0.01703 -0.05713 -0.07643 0.05003 0.00836 0.00874 -0.01489 -0.01076 -0.01411 -0.00716 0.06298 0.35249 0.27445 -0.00385 0.02714 0.01149 0.02521 -0.0055 0.05238 0.06859 0.03861 -0.00099 0.03198 -0.12808 -0.08492 0.00729 -0.01181 -0.0214 -0.02093 0.07409 0.11313 0.21386 0.20783 0.01925 0.00766 -0.13129 -0.09726 0.31622 0.281 -0.01908 -0.05294 -7e-05 0.02756 NA 0.06177 0.05211 -0.01338 0.01988 0.09037 0.06377 -0.00623 -0.00633 0.00784 -0.01188 0.03284 0.02798 1 0.55569 0.059 0.04279 0.02246 -0.00945 -0.01717 -0.01802 -0.02009 -0.01812 0.02658 0.02468 -0.03745 -0.03694 -0.00888 -0.00815 -0.01791 -0.03528 0.07407 0.07654 -0.02657 -0.03316 0.02481 0.01761 0.06788 0.06302 0.00406 0.00162 -0.00646 0.04216 0.04094 -0.00403 -0.00929 0.02349 -0.04126 -0.05134
pericalcarine_right 0.06931 0.05418 0.04075 0.03306 -0.00128 0.01563 0.04134 0.03704 0.0061 0.00756 -0.00267 -0.02121 -0.04474 0.0228 0.00052 -0.00662 -0.01767 -0.01701 -0.00839 -0.00105 0.04148 0.324 0.4536 -0.00389 0.026 0.01261 0.03312 0.00293 0.07049 0.06509 0.04664 0.0106 0.01752 -0.05361 0.00254 0.01283 -0.01402 0.00227 0.00805 0.0412 0.03109 0.18608 0.25323 0.01534 0.01367 -0.09558 -0.07855 0.23446 0.29911 0.01633 -0.00542 0.01134 0.00932 NA 0.07792 0.07094 -0.01294 0.0224 0.06081 0.04764 0.01201 0.00633 0.00784 0.00111 0.03641 0.02761 0.55569 1 0.06068 0.04968 0.04343 0.02572 -0.01906 -0.00621 0.0408 0.04161 0.03401 0.0369 -0.01723 -0.02393 0.00021 0.00394 -0.00738 -0.02421 0.04615 0.04037 -0.0069 -0.02426 0.03933 0.00802 0.07901 0.07329 0.00052 -0.00628 -0.0121 0.04904 0.06008 -0.01531 -0.01857 0.04087 -0.0194 -0.03405
